,capital,entry_date,entry_price,exit_date,exit_price,exit_type,fee,mae,profit_loss,quantity,quantity_active,trade_direction,type_trade
0,493825.94999999995,2005-09-20 18:00:00,1230.01,2005-09-21 13:00:00,1223.84995,StopLoss,14.0,0,-6174.050000000047,1.0,5600.0,Long,Backtesting
1,487688.1499999999,2005-09-29 11:00:00,1222.76,2005-09-29 15:00:00,1216.6362,StopLoss,14.0,0,-6137.800000000047,1.0,5600.0,Long,Backtesting
2,481581.59999999986,2005-10-04 20:00:00,1216.51,2005-10-05 15:00:00,1210.41745,StopLoss,14.0,0,-6106.550000000047,1.0,5600.0,Long,Backtesting
3,475583.7999999998,2005-10-10 15:00:00,1194.76,2005-10-11 16:00:00,1188.7762,StopLoss,14.0,0,-5997.800000000047,1.0,5600.0,Long,Backtesting
4,483049.7999999998,2005-10-11 21:00:00,1185.76,2005-10-12 13:00:00,1193.24,ExitLong,14.0,-0.0008517743894210783,7466.0,1.0,5600.0,Long,Backtesting
5,489265.7999999998,2005-10-17 01:00:00,1187.76,2005-10-17 20:00:00,1193.99,ExitLong,14.0,-0.001271300599447689,6216.0,1.0,5600.0,Long,Backtesting
6,483291.75,2005-10-18 13:00:00,1190.01,2005-10-18 18:00:00,1184.04995,StopLoss,14.0,0,-5974.049999999814,1.0,5600.0,Long,Backtesting
7,477357.69999999995,2005-10-18 19:00:00,1182.01,2005-10-19 08:00:00,1176.08995,StopLoss,14.0,0,-5934.050000000047,1.0,5600.0,Long,Backtesting
8,471394.90000000014,2005-10-20 18:00:00,1187.76,2005-10-20 19:00:00,1181.8112,StopLoss,14.0,0,-5962.799999999814,1.0,5600.0,Long,Backtesting
9,478860.90000000014,2005-10-20 20:00:00,1177.51,2005-10-21 07:00:00,1184.99,ExitLong,14.0,-0.0014946794507052497,7466.0,1.0,5600.0,Long,Backtesting
10,487576.90000000014,2005-11-02 12:00:00,1205.51,2005-11-02 16:00:00,1214.24,ExitLong,14.0,-0.002496868545262987,8716.0,1.0,5600.0,Long,Backtesting
11,495792.90000000014,2005-11-07 03:00:00,1220.26,2005-11-09 17:00:00,1228.49,ExitLong,14.0,-0.0014423155720911796,8216.0,1.0,5600.0,Long,Backtesting
12,503258.90000000014,2005-11-15 03:00:00,1234.26,2005-11-17 19:00:00,1241.74,ExitLong,14.0,-0.0046667638909143605,7466.0,1.0,5600.0,Long,Backtesting
13,496936.1000000001,2005-11-30 07:00:00,1259.76,2005-11-30 20:00:00,1253.4512,StopLoss,14.0,0,-6322.800000000047,1.0,5600.0,Long,Backtesting
14,505402.1000000001,2005-12-08 01:00:00,1257.26,2005-12-09 12:00:00,1265.74,ExitLong,14.0,-0.00478023638706393,8466.0,1.0,5600.0,Long,Backtesting
15,498975.55000000005,2005-12-15 09:00:00,1280.51,2005-12-16 21:00:00,1274.09745,StopLoss,14.0,0,-6426.550000000047,1.0,5600.0,Long,Backtesting
16,507691.55000000005,2005-12-20 04:00:00,1267.01,2005-12-21 15:00:00,1275.74,ExitLong,14.0,-0.001783727042406924,8716.0,1.0,5600.0,Long,Backtesting
17,501282.5,2005-12-27 15:00:00,1277.01,2005-12-27 16:00:00,1270.61495,StopLoss,14.0,0,-6409.050000000047,1.0,5600.0,Long,Backtesting
18,494914.69999999995,2005-12-27 17:00:00,1268.76,2005-12-29 20:00:00,1262.4062,StopLoss,14.0,0,-6367.800000000047,1.0,5600.0,Long,Backtesting
19,501380.69999999995,2006-01-10 02:00:00,1291.76,2006-01-11 10:00:00,1298.24,ExitLong,14.0,-0.0019430854028612554,6466.0,1.0,5600.0,Long,Backtesting
20,494896.65000000014,2006-01-12 19:00:00,1292.01,2006-01-17 15:00:00,1285.53995,StopLoss,14.0,0,-6484.049999999814,1.0,5600.0,Long,Backtesting
21,488440.1000000001,2006-01-20 04:00:00,1286.51,2006-01-20 15:00:00,1280.06745,StopLoss,14.0,0,-6456.550000000047,1.0,5600.0,Long,Backtesting
22,481978.55000000005,2006-01-31 11:00:00,1287.51,2006-01-31 19:00:00,1281.06245,StopLoss,14.0,0,-6461.550000000047,1.0,5600.0,Long,Backtesting
23,488444.55000000005,2006-01-31 22:00:00,1278.26,2006-02-01 20:00:00,1284.74,ExitLong,14.0,-0.0015724500492857452,6466.0,1.0,5600.0,Long,Backtesting
24,482004.25,2006-02-02 10:00:00,1283.26,2006-02-02 16:00:00,1276.8337,StopLoss,14.0,0,-6440.300000000047,1.0,5600.0,Long,Backtesting
25,475651.44999999995,2006-02-07 10:00:00,1265.76,2006-02-07 18:00:00,1259.4212,StopLoss,14.0,0,-6352.800000000047,1.0,5600.0,Long,Backtesting
26,482117.44999999995,2006-02-07 20:00:00,1257.51,2006-02-08 17:00:00,1263.99,ExitLong,14.0,-0.0013995912557355217,6466.0,1.0,5600.0,Long,Backtesting
27,488333.44999999995,2006-02-20 07:00:00,1288.26,2006-02-22 17:00:00,1294.49,ExitLong,14.0,-0.004083026718209037,6216.0,1.0,5600.0,Long,Backtesting
28,481845.6499999999,2006-02-27 12:00:00,1292.76,2006-02-28 15:00:00,1286.2862,StopLoss,14.0,0,-6487.800000000047,1.0,5600.0,Long,Backtesting
29,489561.6499999999,2006-02-28 16:00:00,1283.51,2006-03-01 18:00:00,1291.24,ExitLong,14.0,-0.0027346884714571917,7716.0,1.0,5600.0,Long,Backtesting
30,483155.09999999986,2006-03-07 11:00:00,1276.51,2006-03-08 16:00:00,1270.11745,StopLoss,14.0,0,-6406.550000000047,1.0,5600.0,Long,Backtesting
31,490371.09999999986,2006-03-09 18:00:00,1286.26,2006-03-10 15:00:00,1293.49,ExitLong,14.0,-0.004283737347037131,7216.0,1.0,5600.0,Long,Backtesting
32,483769.5499999998,2006-03-20 15:00:00,1315.51,2006-03-21 19:00:00,1308.92245,StopLoss,14.0,0,-6601.550000000047,1.0,5600.0,Long,Backtesting
33,491735.5499999998,2006-03-21 20:00:00,1307.01,2006-03-22 20:00:00,1314.99,ExitLong,14.0,-0.0017291374970351825,7966.0,1.0,5600.0,Long,Backtesting
34,485165.24999999977,2006-03-27 16:00:00,1309.26,2006-03-28 20:00:00,1302.7037,StopLoss,14.0,0,-6570.300000000047,1.0,5600.0,Long,Backtesting
35,492131.24999999977,2006-03-30 18:00:00,1307.76,2006-04-03 14:00:00,1314.74,ExitLong,14.0,-0.0038309781611304272,6966.0,1.0,5600.0,Long,Backtesting
36,499097.24999999977,2006-04-03 19:00:00,1306.01,2006-04-04 16:00:00,1312.99,ExitLong,14.0,-0.0028789978637223657,6966.0,1.0,5600.0,Long,Backtesting
37,508563.24999999977,2006-04-06 16:00:00,1312.51,2006-04-07 12:00:00,1321.99,ExitLong,14.0,-0.001912366381970454,9466.0,1.0,5600.0,Long,Backtesting
38,502016.69999999995,2006-04-11 03:00:00,1304.51,2006-04-11 14:00:00,1297.97745,StopLoss,14.0,0,-6546.549999999814,1.0,5600.0,Long,Backtesting
39,495515.1499999999,2006-04-11 16:00:00,1295.51,2006-04-17 17:00:00,1289.02245,StopLoss,14.0,0,-6501.550000000047,1.0,5600.0,Long,Backtesting
40,503231.1499999999,2006-04-19 14:00:00,1311.51,2006-04-20 16:00:00,1319.24,ExitLong,14.0,-0.0024856844400729106,7716.0,1.0,5600.0,Long,Backtesting
